variable,judge,narr_mean,std_mean,cliffs_delta,ci_lo,ci_hi
stakeholder_count,primary (gpt-4o-mini),6.1,2.86,1.0,1.0,1.0
stakeholder_count,secondary (gpt-5.4-nano),8.01,3.01,1.0,1.0,1.0
max_causal_hops,primary (gpt-4o-mini),3.05,1.8,0.9525,0.906,0.9904
max_causal_hops,secondary (gpt-5.4-nano),3.39,2.83,0.2992,0.19,0.40243999999999974
uncertainty_score,primary (gpt-4o-mini),2.91,1.71,0.9225,0.8708,0.9648049999999999
uncertainty_score,secondary (gpt-5.4-nano),3.0,1.17,1.0,1.0,1.0
n_frameworks,primary (gpt-4o-mini),0.11,0.07,0.04,-0.04,0.12
n_frameworks,secondary (gpt-5.4-nano),0.7,0.7,-0.0532,-0.19140249999999998,0.0942199999999999
