gen_model,variable,raw_cliffs_delta,length_residualized_cliffs_delta,ci_lo,ci_hi,shrinkage
gpt-5.4-nano,stakeholder_count,0.9928744112771376,0.5073625342405903,0.47666681863599925,0.5359399873105607,0.4855118770365473
gpt-5.4-nano,max_causal_hops,0.5687548519375457,0.18097293299545486,0.14075970735772186,0.2198875806862175,0.38778191894209085
gpt-5.4-nano,uncertainty_score,0.9915900171345422,0.7745864217934154,0.751189552614949,0.7962585530239997,0.2170035953411268
gpt-5.4-nano,n_frameworks,0.01416625,-0.921389,-0.9377456875,-0.9044864125,0.9355552500000001
gpt-4o,stakeholder_count,0.8517671488360664,0.7459451648117041,0.7244042493947707,0.7669038994493521,0.10582198402436227
gpt-4o,max_causal_hops,-0.04752611247396809,-0.8228412647581298,-0.8461109042488912,-0.799102906107882,0.7753151522841617
gpt-4o,uncertainty_score,0.9899321458350957,0.9832826793633914,0.9760692091334244,0.9895371732667884,0.0066494664717042795
gpt-4o,n_frameworks,-0.014085,-0.970649,-0.980478875,-0.9597906125,0.956564
