generator,n_v1,n_v2,v1_mean_sc,v2_mean_sc,delta_sc,ci_lo_sc,ci_hi_sc,h1_met,v1_mean_us,v2_mean_us,delta_us,v1_mean_mh,v2_mean_mh,delta_mh,delta_sc_resid,delta_us_resid,v1_collapse,v2_collapse,v1_suppression,v2_suppression,token_ratio,kappa_collapse,kappa_suppression
gpt-5.4-nano,30,500,7.2,6.242,0.434,0.187,0.657,False,3.0,3.0,0.0,4.833,4.6,0.233,0.201,0.0,0.0,0.0,0.0,0.0,1818.29,1.0,1.0
claude-haiku-4-5,254,2000,5.039,6.215,-0.573,-0.635,-0.514,True,2.992,3.0,-0.008,4.417,4.946,-0.529,0.013,0.946,0.0,0.0,0.0,0.0,1.682,0.0,0.0
grok-4-1-fast-reasoning,500,500,5.008,6.612,-0.684,-0.727,-0.636,True,2.458,2.92,-0.438,4.024,4.664,-0.623,-0.655,-0.223,0.0,0.012,0.01,0.014,1.117,0.565,0.732
claude-sonnet-4-6,500,500,5.658,6.92,-0.595,-0.643,-0.544,True,2.976,3.0,-0.024,4.43,4.89,-0.46,-0.672,-0.13,0.0,0.0,0.0,0.0,0.96,0.0,0.0
